,0
b0618,1.0729430780441969
b0619,0.010166110105288
b0620,0.1261942143547883
b0621,0.2716593750309625
b0622,0.3830006375750573
b0623,0.5954206210996307
b0628,0.5010157299776603
b0630,0.0887981776386902
b0631,0.2706595471125457
b0635,0.6875483029818727
b0639,0.8246616452113732
b0644,0.0017597402696845
b0645,0.0345779363235625
b0646,0.1714386991688916
b0647,0.1957703031914636
b0648,0.2120000999347039
b0649,0.4136946633114664
b0651,-0.2004230022814893
b0652,-0.0076529911531066
b0653,-0.0025835408472689
b0654,-0.0399654373991046
b0655,0.058745831597722
b0657,0.5637706764015982
b0658,0.4722251844010093
b0659,0.2188360347638442
b0660,0.1490263526124148
b0664,0.087164853997432
b0665,0.0995838645238852
b0666,0.1247481524175823
b0668,0.1257951019784324
b0670,0.110671617931671
b0672,0.1082652778141016
b0673,0.0961221501218934
b0674,0.4550964241861789
b0675,0.1117897538339921
b0676,0.03743902265184
b0677,0.0205294823956991
b0678,0.2443490834010218
b0679,0.2309676806467201
b0680,0.0641327670153246
b0681,-0.0740272875925363
b0682,0.2447913519544367
b0683,-2.8264504294359614
b0684,0.5670803960298805
b0685,0.5771572764722486
b0687,0.3043315251894073
b0688,0.2544660968814044
b0691,0.1005751908352482
b0692,0.0594202512447817
b0693,0.2380405570077036
b0696,-0.0880132588720543
b0697,0.0371936922798164
b0698,0.068868605040028
b0699,0.8065367665173999
b0704,0.1964763614513541
b0707,0.2143131046957111
b0708,-0.05782063155554
b0714,-0.0484737385260679
b0720,-0.3463225623643715
b0721,-0.2723248132073104
b0722,-0.1807225507033966
b0723,-0.3338987743362383
b0724,-0.2381257454397193
b0726,-0.382575751532446
b0727,-0.6629017597745663
b0728,-0.3975450535078945
b0729,-0.1514637788288251
b0730,-0.0036128371417122
b0731,-0.1335312500513913
b0732,-0.2593395445241555
b0733,-0.5153565907023209
b0734,-0.5853952910263642
b0735,0.5197123267380275
b0736,0.8494573987462918
b0737,0.7760093176283747
b0738,0.7675291591297603
b0739,0.7404298945640345
b0740,0.9223709984716926
b0741,0.711945472963659
b0742,0.8276191339536966
b0743,0.0618472907462179
b0744,0.092126383643603
b0745,0.077981793988249
b0750,0.3135904286989401
b0751,0.728997178309694
b0752,0.1443854118960217
b0753,0.3690926436408723
b0754,0.069982317118772
b0755,0.039827617979778
